Values
95.9
1.3
60.1
57.2
251.3
52.6
741.6
485.3
378
177.6
222.9
20
231.6
184.8
55.9
35.6
112
108.1
43.1
618.7
871.1
175.5
68.9
63.8
88.5
7.1
24.7
26.3
148.6
1218.1
17.2
420.1
206.6
11
284.2
57
42
286.1
1021.6
162.9
11.3
160.1
105.2
36.5
67.9
212.3
107.9
76.7
106.6
