time,latitude,longitude
2016-02-12T02:43:11.630Z,33.156,-115.6556667
2016-02-12T02:35:25.530Z,46.1963333,-122.1893333
2016-02-12T02:33:53.620Z,19.3570004,-155.4213409
2016-02-12T02:29:11.700Z,44.42,-114.1088333
2016-02-12T02:18:56.170Z,38.9168333,-122.894
2016-02-12T02:15:12.470Z,38.8113327,-122.7816696
2016-02-12T01:57:05.210Z,34.6123333,-118.6433333
2016-02-12T01:38:44.120Z,33.576,-116.805
2016-02-12T01:28:43.990Z,38.829834,-122.8103333
2016-02-12T01:18:47.620Z,38.8373337,-122.8294983
2016-02-12T01:14:44.880Z,37.5521667,-118.8541667
2016-02-12T01:10:31.300Z,18.7632,-64.9831
2016-02-12T01:08:14.520Z,38.8048333,-122.7748333
2016-02-12T00:33:47.540Z,36.1695,-97.0475
2016-02-12T00:23:45.640Z,33.8441667,-117.496
2016-02-12T00:18:13.100Z,38.8335,-122.7966667
2016-02-12T00:09:36.130Z,33.488,-116.4735
2016-02-12T00:02:28.520Z,38.8014984,-122.7695007
2016-02-11T23:53:12.700Z,45.8981667,-112.03
2016-02-11T23:46:34.200Z,-4.8858,152.4489
2016-02-11T23:45:06.620Z,38.8431664,-122.8256683
2016-02-11T23:34:45.110Z,38.8153333,-122.8258333
2016-02-11T23:33:57.460Z,38.815,-122.8281667
2016-02-11T23:20:29.810Z,37.6450005,-118.9469986
2016-02-11T23:10:48.800Z,37.6441667,-118.943
2016-02-11T23:08:03.110Z,37.6428333,-118.9491667
2016-02-11T23:07:10.380Z,37.6458333,-118.951
2016-02-11T23:03:25.160Z,38.822,-122.845
2016-02-11T22:52:15.570Z,46.449,-119.0066667
2016-02-11T22:39:30.940Z,37.4735,-118.8456667
2016-02-11T22:35:11.770Z,36.3684,-97.3499
2016-02-11T22:34:06.070Z,38.8518333,-122.768837
2016-02-11T22:27:35.540Z,37.4173333,-121.6695
2016-02-11T22:12:37.950Z,38.8226662,-122.8464966
2016-02-11T22:08:23.110Z,50.4692,179.1214
2016-02-11T22:05:56.260Z,35.8148333,-117.5286667
